ID,AR,Dec
1608+104,16:08:46.2031,+10:29:07.775
1613+342,16:13:41.0642,+34:12:47.909
1617+027,16:17:49.9081,+02:46:43.105
1619+227,16:19:14.8246,+22:47:47.851
1625-254,16:25:46.8916,-25:27:38.326
1626-298,16:26:06.0208,-29:51:26.971
1632+825,16:32:31.9699,+82:32:16.399
1635+381,16:35:15.4929,+38:08:04.500
1637+472,16:37:45.1305,+47:17:33.831
1638+573,16:38:13.4562,+57:20:23.979
1640+397,16:40:29.6327,+39:46:46.028
1642+689,16:42:07.8485,+68:56:39.756
1642+398,16:42:58.8099,+39:48:36.993
1653+397,16:53:52.2166,+39:45:36.608
1658+347,16:58:01.4192,+34:43:28.402
1658+476,16:58:02.7796,+47:37:49.231
1658+076,16:58:09.0114,+07:41:27.540
1700-261,17:00:53.1540,-26:10:51.725
1707+018,17:07:34.4152,+01:48:45.699
1713-269,17:13:31.2756,-26:58:52.523
1716+686,17:16:13.9380,+68:36:38.744
1719+177,17:19:13.0484,+17:45:06.436
1727+455,17:27:27.6508,+45:30:39.731
1728+044,17:28:24.9527,+04:27:04.914
1733-130,17:33:02.7057,-13:04:49.548
1734+389,17:34:20.5785,+38:57:51.443
1734+094,17:34:58.3769,+09:26:58.260
1737+063,17:37:13.7290,+06:21:03.572
1739+499,17:39:27.3904,+49:55:03.368
1740+521,17:40:36.9778,+52:11:43.407
1743-038,17:43:58.8561,-03:50:04.616
1744-312,17:44:23.5826,-31:16:35.986
1751+096,17:51:32.8185,+09:39:00.728
1753+288,17:53:42.4736,+28:48:04.939
1800+388,18:00:24.7653,+38:48:30.697
1800+784,18:00:45.6839,+78:28:04.018
1801+440,18:01:32.3148,+44:04:21.900
1802-396,18:02:42.669,-39:40:07.97
1806+698,18:06:50.6806,+69:49:28.108
1821+397,18:21:59.7006,+39:45:59.656
1824+568,18:24:07.0683,+56:51:01.490
1829+487,18:29:31.7832,+48:44:46.161
1830+063,18:30:05.9398,+06:19:15.952
1832-206,18:32:11.0465,-20:39:48.203
1842+681,18:42:33.6416,+68:09:25.227
1848+323,18:48:22.0885,+32:19:02.603
1848+327,18:48:34.3611,+32:44:00.139
1849+670,18:49:16.0723,+67:05:41.679
1902+319,19:02:55.9388,+31:59:41.702
1911-201,19:11:09.6528,-20:06:55.109
1923-210,19:23:32.1898,-21:04:33.333
1924+156,19:24:39.4558,+15:40:43.941
1924-292,19:24:51.0559,-29:14:30.121
1925+211,19:25:59.6053,+21:06:26.162
1927+612,19:27:30.4426,+61:17:32.879
1927+739,19:27:48.4951,+73:58:01.569
1937-399,19:37:16.2173,-39:58:01.553
1955+515,19:55:42.7382,+51:31:48.546
1957-387,19:57:59.8192,-38:45:06.356
2000-178,20:00:57.0904,-17:48:57.672
2005+778,20:05:30.9985,+77:52:43.247
2007+404,20:07:44.9448,+40:29:48.604
2009-485,20:09:25.391,-48:49:53.72
2009+724,20:09:52.3038,+72:29:19.351
2011-157,20:11:15.7109,-15:46:40.253
2012+464,20:12:05.6374,+46:28:55.776
2015+371,20:15:28.7297,+37:10:59.515
2016+165,20:16:13.8600,+16:32:34.112
2023+318,20:23:19.0173,+31:53:02.305
2025+032,20:25:09.6321,+03:16:44.505
2025+337,20:25:10.8420,+33:43:00.214
mwc349a,20:32:45.5284,+40:39:36.623
2035+109,20:35:22.3333,+10:56:06.789
2038+513,20:38:37.0347,+51:19:12.662
2047-166,20:47:19.6670,-16:39:05.842
2049+100,20:49:45.8649,+10:03:14.398
2050+041,20:50:06.2406,+04:07:48.890
2056-472,20:56:16.40,-47:14:47.80
2057-375,20:57:41.6034,-37:34:02.989
2101-295,21:01:01.6599,-29:33:27.836
2101+036,21:01:38.8341,+03:41:31.321
2109+355,21:09:31.8787,+35:32:57.597
2123+055,21:23:44.5173,+05:35:22.093
2129-183,21:29:21.4190,-18:21:22.790
2131-121,21:31:35.2617,-12:07:04.795
2134-018,21:34:10.3096,-01:53:17.238
2136+006,21:36:38.5862,+00:41:54.213
2138-246,21:38:37.1811,-24:39:54.466
2139+143,21:39:01.3092,+14:23:35.991
2142-046,21:42:36.9016,-04:37:43.512
2147+094,21:47:10.1629,+09:29:46.672
2148+069,21:48:05.4586,+06:57:38.604
2151+071,21:51:31.4293,+07:09:26.783
2151-304,21:51:55.5240,-30:27:53.698
2152+175,21:52:24.8194,+17:34:37.794
2158-150,21:58:06.2819,-15:01:09.328
2158-302,21:58:52.0650,-30:13:32.118
2202+422,22:02:43.2913,+42:16:39.979
2203+317,22:03:14.9757,+31:45:38.269
2203+174,22:03:26.8936,+17:25:48.247
2206-185,22:06:10.4170,-18:35:38.746
2213-254,22:13:02.4979,-25:29:30.079
2217+243,22:17:00.8211,+24:21:45.958
2218-035,22:18:52.0377,-03:35:36.879
2225-049,22:25:47.2592,-04:57:01.390
2229-085,22:29:40.0843,-08:32:54.435
2232+117,22:32:36.4089,+11:43:50.904
2235-485,22:35:13.237,-48:35:58.79
2236+284,22:36:22.4708,+28:28:57.413
2243-257,22:43:26.4087,-25:44:30.687
2246-121,22:46:18.2319,-12:06:51.277
2247+031,22:47:58.6821,+03:10:42.353
2248-325,22:48:38.6857,-32:35:52.187
2253+161,22:53:57.7479,+16:08:53.560
2258-279,22:58:05.9628,-27:58:21.256
2301+374,23:01:27.7374,+37:26:49.243
2302-373,23:02:23.8905,-37:18:06.842
2307+148,23:07:33.9664,+14:50:18.405
2311+344,23:11:05.3290,+34:25:10.900
2320+052,23:20:44.8565,+05:13:49.952
2321+275,23:21:59.8622,+27:32:46.443
2323-032,23:23:31.9537,-03:17:05.023
2327+096,23:27:33.5805,+09:40:09.462
2329-475,23:29:17.704,-47:30:19.11
2331-159,23:31:38.6524,-15:56:57.009
2333-237,23:33:55.2378,-23:43:40.657
2334+076,23:34:12.8281,+07:36:27.552
2337-025,23:37:57.3390,-02:30:57.629
2347+517,23:47:04.8380,+51:42:17.877
2347-512,23:47:19.864,-51:10:36.066
2348-165,24:48:02.6085,-16:31:12.022
2354+458,23:54:21.6802,+45:53:04.236
2358-103,23:58:10.8824,-10:20:08.611
